N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;1.614823006296703;5.68322019403208;11.373590954668872
2;1.0204122414453314;2.859915435166252;4.8308568743138975
3;1.2388617453536364;3.1206927781945786;6.772694339862537
4;1.166028035040753;3.055524174059959;6.869670850112831
5;1.1735134818714033;3.243181054270109;6.8376489425332565
