N;gmean(error_u);max(error_u);gmean(relative_error_u);max(relative_error_u)
1;0.10683390588136475;0.3161808138003754;0.07958116576092966;0.2085534845896457
2;0.0036517661441223164;0.007491631282053437;0.0027202207430126416;0.007610755494345434
3;0.0005146327375461387;0.0012594498230384089;0.0003833527647874214;0.001263455806222422
4;4.338085638153311e-05;0.00019687006716555654;3.231463919688122e-05;0.00014127405999319928
