N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;2.103745420895734;4.159188554548021;5.893809376301211
2;1.138298269737952;2.6738581489539546;3.6643067097464836
3;1.2032604122540096;2.7024467318348435;3.9726534270856635
4;1.2182442111014216;2.6919088111300873;4.234115293293188
