N;gmean(error_u);max(error_u);gmean(relative_error_u);max(relative_error_u)
1;0.0004852623546305096;0.012159897940715118;0.10551472032364935;0.4488202291978678
2;0.00013449864299893376;0.04421061852546839;0.029245183691919925;1.8065626079428068
3;2.958964238047664e-06;0.04401471560427115;0.0006433927566110243;1.7985574973149647
4;1.3223309759237113e-06;0.043916224559992126;0.00028752566888508546;1.79453289318713
5;3.2584894201602194e-07;0.043943156339092446;7.085210640490902e-05;1.7956333967926152
