N,gmean(error_u),max(error_u),gmean(relative_error_u),max(relative_error_u)
1,0.00000746460615484804,0.000768379954639163,0.00727312448635156,0.0448570264087633
,,,,
N,min(speedup_solve),gmean(speedup_solve),max(speedup_solve),
1,271.856308127149,552.380937351418,696.670646072451,
,,,,
,,,,
N,gmean(error_u),max(error_u),gmean(relative_error_u),max(relative_error_u)
1,0.000284093770720732,0.00163175185692504,0.353878377097995,0.373171770498444
2,0.00000770404750370472,0.000236128372104169,0.00959646464890943,0.0477255456956881
3,0.0000000307971221710008,0.00000373965927211939,0.0000383621069392462,0.000466742030390666
,,,,
N,min(speedup_solve),gmean(speedup_solve),max(speedup_solve),
1,1.51833214001969,2.46932148447877,8.63021945920511,
2,1.11578306090889,2.25166787929635,4.48592752329233,
3,1.24182818300181,2.23675207938729,4.54369117010422,
,,,,
N,gmean(error_u),max(error_u),gmean(relative_error_u),max(relative_error_u)
1,0.0000147250305256942,0.00801654246601682,0.0170195993680675,0.193508569302414
2,0.0000246934688863197,5.95307750702253E+026,0.0285413973655031,1.43699296325525E+028
3,0.00000515681102311087,1.52174260067875E+031,0.00596038544551971,3.67328227539712E+032
,,,,
N,min(speedup_solve),gmean(speedup_solve),max(speedup_solve),
1,34.225304099819,54.7276771188214,446.281994432658,
2,5.08386408424121,8.24941386026471,38.821238742242,
3,6.31979999686368,61.6007145916647,216.622361859921,
